Temperature	PWM	Time	Set Temperature	T1	T2	T3	T4	T5

Mode	time	PWM	Heat/Cool	K_p	K_I	Set Temp	Reset Int	Sin amplitude	Sin period
Sin	65.9	255	1		20.0	1.0	40.0		0		20.0		190.0

46.56	17	86.2	45.72	38.96	37.31	32.13	30.2	29.79
46.07	12	87.3	45.04	39.03	37.41	32.3	30.32	29.86
45.56	8	88.4	44.36	39.08	37.49	32.45	30.44	29.93
45.04	3	89.4	43.66	39.1	37.55	32.61	30.55	30
44.5	-3	90.5	42.97	39.09	37.6	32.76	30.66	30.07
43.94	-9	91.6	42.27	39.07	37.62	32.9	30.77	30.13
43.37	-16	92.6	41.56	39.01	37.62	33.01	30.88	30.2
42.79	-22	93.7	40.85	38.95	37.61	33.12	30.98	30.27
42.24	-30	94.8	40.15	38.85	37.59	33.21	31.09	30.34
41.68	-37	95.8	39.44	38.74	37.54	33.31	31.18	30.41
41.14	-46	96.9	38.73	38.63	37.49	33.4	31.28	30.47
40.58	-54	98	38.03	38.48	37.42	33.49	31.36	30.54
40.03	-62	99.1	37.32	38.33	37.34	33.56	31.46	30.6
39.45	-69	100.1	36.62	38.17	37.24	33.62	31.54	30.67
38.89	-78	101.2	35.93	38.01	37.13	33.67	31.62	30.73
38.31	-85	102.3	35.24	37.82	37.01	33.72	31.68	30.79
37.72	-93	103.3	34.55	37.63	36.88	33.76	31.76	30.85
37.14	-100	104.4	33.87	37.41	36.75	33.79	31.84	30.91
36.52	-107	105.5	33.2	37.2	36.59	33.82	31.9	30.97
35.9	-113	106.6	32.54	36.98	36.43	33.84	31.97	31.02
35.29	-120	107.6	31.88	36.74	36.26	33.84	32.02	31.08
34.66	-125	108.7	31.24	36.49	36.07	33.83	32.07	31.14
34.04	-131	109.8	30.6	36.23	35.88	33.82	32.12	31.18
33.43	-136	110.9	29.98	35.97	35.68	33.81	32.16	31.24
32.8	-141	111.9	29.37	35.69	35.47	33.79	32.2	31.29
32.19	-145	113	28.78	35.41	35.26	33.76	32.24	31.33
31.56	-149	114.1	28.2	35.13	35.03	33.75	32.27	31.37
30.96	-153	115.2	27.63	34.83	34.79	33.7	32.29	31.41
30.35	-156	116.2	27.08	34.52	34.55	33.64	32.31	31.44
29.74	-159	117.3	26.55	34.22	34.31	33.58	32.31	31.47
29.15	-162	118.4	26.03	33.91	34.06	33.51	32.32	31.5
28.56	-164	119.5	25.53	33.59	33.8	33.43	32.32	31.52
27.99	-166	120.5	25.05	33.26	33.54	33.36	32.3	31.53
27.41	-167	121.6	24.59	32.94	33.28	33.28	32.28	31.54
26.85	-167	122.7	24.14	32.63	33.01	33.19	32.27	31.55
26.3	-168	123.8	23.72	32.3	32.75	33.09	32.25	31.57
25.77	-168	124.8	23.32	31.97	32.48	33	32.23	31.57
25.24	-167	125.9	22.94	31.63	32.2	32.89	32.2	31.58
24.74	-167	127	22.58	31.31	31.92	32.79	32.16	31.57
24.26	-166	128.1	22.24	30.98	31.64	32.67	32.12	31.57
23.8	-164	129.1	21.92	30.66	31.36	32.55	32.07	31.56
23.36	-163	130.2	21.63	30.33	31.07	32.42	32.03	31.54
22.93	-161	131.3	21.36	30.01	30.79	32.29	31.98	31.52
22.53	-159	132.4	21.12	29.69	30.5	32.15	31.92	31.51
22.14	-156	133.4	20.89	29.37	30.22	32.01	31.86	31.48
21.77	-152	134.5	20.7	29.05	29.96	31.86	31.79	31.46
21.43	-149	135.6	20.52	28.75	29.67	31.71	31.72	31.42
21.1	-145	136.6	20.37	28.45	29.4	31.57	31.65	31.39
20.8	-141	137.7	20.25	28.16	29.14	31.42	31.57	31.36
20.52	-137	138.8	20.15	27.87	28.88	31.28	31.5	31.32
20.27	-132	139.9	20.08	27.59	28.63	31.13	31.42	31.29
20.04	-127	140.9	20.03	27.31	28.38	31	31.35	31.24
19.83	-121	142	20	27.04	28.14	30.85	31.27	31.2
19.66	-116	143.1	20	26.79	27.91	30.71	31.19	31.16
19.5	-110	144.2	20.03	26.54	27.68	30.57	31.11	31.12
19.36	-104	145.2	20.08	26.3	27.46	30.41	31.02	31.08
19.25	-97	146.3	20.16	26.08	27.24	30.28	30.93	31.03
19.17	-90	147.4	20.26	25.85	27.03	30.13	30.85	30.98
19.11	-83	148.5	20.39	25.65	26.84	29.98	30.75	30.93
19.08	-76	149.5	20.54	25.44	26.64	29.83	30.66	30.87
19.06	-68	150.6	20.71	25.25	26.46	29.7	30.56	30.82
19.09	-60	151.7	20.91	25.08	26.29	29.56	30.47	30.76
19.14	-53	152.8	21.14	24.91	26.12	29.41	30.37	30.71
19.21	-44	153.8	21.39	24.76	25.97	29.27	30.28	30.65
19.29	-36	154.9	21.66	24.62	25.82	29.13	30.18	30.59
19.41	-27	156	21.95	24.49	25.68	29.01	30.09	30.52
19.55	-18	157	22.27	24.38	25.55	28.88	29.99	30.46
