Temperature	PWM	Time	Set Temperature	T1	T2	T3	T4	T5

Mode	time	PWM	Heat/Cool	K_p	K_I	Set Temp	Reset Int	Sin amplitude	Sin period
Sin	17.4	236	1		20.0	1.0	40.0		1		20.0		100.0

20.68	-217	79.5	20.79	32.27	33.62	36.51	36.15	35.34
20.12	-188	80.6	21.21	31.78	33.2	36.29	36.05	35.31
19.73	-160	81.6	21.71	31.31	32.77	36.07	35.95	35.26
19.5	-133	82.7	22.3	30.83	32.34	35.84	35.82	35.21
19.42	-106	83.8	22.97	30.38	31.94	35.61	35.71	35.16
19.47	-81	84.9	23.71	29.96	31.55	35.37	35.59	35.1
19.64	-55	85.9	24.53	29.56	31.18	35.14	35.47	35.05
19.89	-29	87	25.42	29.2	30.83	34.9	35.35	34.99
20.24	-3	88.1	26.37	28.88	30.51	34.66	35.22	34.92
20.65	17	89.1	27.39	28.6	30.21	34.43	35.09	34.86
21.15	36	90.2	28.46	28.36	29.96	34.2	34.95	34.79
21.78	55	91.3	29.58	28.16	29.73	33.96	34.8	34.71
22.59	71	92.3	30.75	28	29.54	33.73	34.65	34.63
23.57	84	93.4	31.96	27.88	29.37	33.52	34.51	34.55
24.67	96	94.5	33.21	27.82	29.26	33.3	34.36	34.46
25.88	107	95.6	34.49	27.8	29.18	33.11	34.2	34.37
27.13	117	96.6	35.79	27.85	29.14	32.91	34.06	34.28
28.41	127	97.7	37.12	27.95	29.15	32.73	33.91	34.19
29.72	137	98.8	38.45	28.11	29.21	32.56	33.77	34.09
31.05	147	99.8	39.8	28.31	29.3	32.41	33.62	33.99
32.41	156	100.9	41.14	28.57	29.44	32.27	33.48	33.9
33.8	164	102	42.48	28.86	29.61	32.14	33.34	33.79
35.22	172	103.1	43.81	29.19	29.82	32.04	33.21	33.69
36.65	178	104.1	45.12	29.57	30.07	31.93	33.09	33.59
38.06	185	105.2	46.41	29.98	30.34	31.86	32.96	33.48
39.49	190	106.3	47.67	30.42	30.65	31.81	32.83	33.35
40.9	195	107.3	48.9	30.89	30.98	31.76	32.69	33.23
42.31	199	108.4	50.08	31.4	31.36	31.74	32.6	33.14
43.69	202	109.5	51.22	31.93	31.74	31.73	32.51	33.04
45.03	205	110.6	52.31	32.47	32.15	31.75	32.43	32.97
46.37	206	111.6	53.34	33.04	32.6	31.8	32.37	32.89
47.64	208	112.7	54.31	33.63	33.05	31.86	32.32	32.8
48.9	207	113.8	55.22	34.23	33.51	31.93	32.26	32.73
50.11	206	114.8	56.06	34.85	34.01	32	32.21	32.65
51.26	205	115.9	56.82	35.48	34.5	32.1	32.17	32.58
52.35	202	117	57.51	36.11	35.01	32.24	32.15	32.51
53.36	199	118.1	58.12	36.74	35.51	32.36	32.13	32.46
54.33	195	119.1	58.65	37.36	36.03	32.5	32.13	32.41
55.22	190	120.2	59.1	37.99	36.53	32.66	32.15	32.4
56.03	185	121.3	59.45	38.61	37.06	32.85	32.17	32.38
56.77	178	122.3	59.72	39.23	37.56	33.03	32.23	32.37
57.42	172	123.4	59.9	39.83	38.08	33.23	32.28	32.37
57.99	164	124.5	59.99	40.41	38.58	33.43	32.35	32.38
58.49	156	125.6	59.99	40.99	39.07	33.64	32.42	32.39
58.91	147	126.6	59.9	41.54	39.56	33.86	32.49	32.41
59.23	137	127.7	59.71	42.07	40.04	34.09	32.58	32.43
59.44	127	128.8	59.44	42.58	40.47	34.31	32.67	32.46
59.57	117	129.8	59.08	43.06	40.9	34.54	32.77	32.49
59.58	107	130.9	58.63	43.51	41.3	34.77	32.87	32.53
59.52	96	132	58.1	43.93	41.68	35	32.98	32.57
59.36	85	133.1	57.49	44.32	42.05	35.23	33.09	32.61
59.12	73	134.1	56.79	44.67	42.4	35.48	33.21	32.66
58.79	62	135.2	56.02	44.99	42.73	35.71	33.32	32.71
58.35	50	136.3	55.18	45.26	43	35.94	33.44	32.76
57.81	39	137.4	54.27	45.5	43.25	36.17	33.57	32.82
57.24	27	138.4	53.29	45.72	43.48	36.38	33.7	32.89
56.56	15	139.5	52.26	45.87	43.66	36.61	33.83	32.96
55.79	3	140.6	51.16	45.99	43.82	36.82	33.96	33.03
54.95	-11	141.6	50.02	46.07	43.95	37.01	34.1	33.11
54.02	-26	142.7	48.84	46.11	44.02	37.19	34.23	33.19
53.04	-41	143.8	47.61	46.09	44.07	37.37	34.35	33.26
52.09	-59	144.9	46.35	46.05	44.09	37.54	34.49	33.34
51.12	-77	145.9	45.05	45.96	44.08	37.7	34.62	33.42
50.15	-96	147	43.74	45.83	44.04	37.83	34.74	33.5
49.15	-115	148.1	42.41	45.65	43.96	37.96	34.86	33.58
48.14	-135	149.2	41.07	45.46	43.86	38.08	34.98	33.67
47.1	-155	150.2	39.72	45.23	43.73	38.19	35.1	33.75
46.02	-174	151.3	38.37	44.97	43.58	38.28	35.23	33.83
