Temperature	PWM	Time	Set Temperature	T1	T2	T3	T4	T5

Mode	time	PWM	Heat/Cool	K_p	K_I	Set Temp	Reset Int	Sin amplitude	Sin period
Sin	20.6	255	1		20.0	1.0	40.0		1		20.0		130.0

35.53	-214	75.2	30.52	40.96	40.91	39.4	37.41	35.99
34.61	-221	76.3	29.62	40.54	40.58	39.31	37.4	36.01
33.69	-227	77.4	28.75	40.12	40.25	39.21	37.38	36.03
32.78	-233	78.4	27.91	39.68	39.89	39.1	37.37	36.04
31.87	-237	79.5	27.1	39.22	39.52	38.99	37.34	36.06
30.98	-241	80.6	26.33	38.76	39.14	38.87	37.31	36.07
30.1	-244	81.6	25.59	38.29	38.76	38.75	37.28	36.07
29.23	-245	82.7	24.89	37.82	38.36	38.61	37.24	36.07
28.38	-246	83.8	24.23	37.34	37.96	38.44	37.17	36.04
27.57	-247	84.9	23.61	36.84	37.54	38.26	37.09	36.02
26.77	-246	85.9	23.04	36.35	37.11	38.07	37.01	35.99
25.99	-244	87	22.51	35.85	36.69	37.9	36.93	35.95
25.24	-241	88.1	22.03	35.35	36.27	37.72	36.85	35.92
24.53	-238	89.2	21.6	34.85	35.85	37.55	36.77	35.89
23.87	-234	90.2	21.22	34.36	35.43	37.36	36.7	35.86
23.23	-229	91.3	20.89	33.87	35.01	37.18	36.62	35.83
22.64	-223	92.4	20.61	33.4	34.59	36.99	36.54	35.81
22.08	-217	93.5	20.38	32.91	34.16	36.79	36.47	35.78
21.57	-209	94.5	20.21	32.45	33.75	36.58	36.38	35.74
21.1	-201	95.6	20.08	31.99	33.35	36.36	36.27	35.7
20.67	-192	96.7	20.02	31.54	32.94	36.14	36.18	35.66
20.31	-183	97.7	20	31.11	32.55	35.93	36.07	35.61
19.98	-173	98.8	20.04	30.68	32.17	35.7	35.97	35.56
19.69	-161	99.9	20.13	30.27	31.8	35.49	35.84	35.5
19.47	-150	101	20.28	29.88	31.43	35.26	35.72	35.44
19.29	-137	102	20.48	29.49	31.08	35.03	35.6	35.37
19.17	-125	103.1	20.73	29.14	30.74	34.8	35.47	35.31
19.09	-111	104.2	21.04	28.8	30.42	34.57	35.33	35.23
19.07	-97	105.3	21.39	28.48	30.11	34.36	35.19	35.15
19.09	-82	106.3	21.8	28.18	29.82	34.13	35.06	35.07
19.15	-66	107.4	22.25	27.9	29.54	33.9	34.92	34.98
19.28	-51	108.5	22.75	27.64	29.28	33.69	34.77	34.89
19.46	-34	109.6	23.3	27.4	29.04	33.46	34.62	34.8
19.68	-18	110.6	23.89	27.18	28.81	33.26	34.46	34.7
19.96	-1	111.7	24.53	26.99	28.61	33.04	34.31	34.6
20.27	12	112.8	25.21	26.82	28.41	32.84	34.16	34.5
20.63	25	113.8	25.92	26.68	28.24	32.64	34	34.4
21.1	37	114.9	26.68	26.56	28.1	32.45	33.85	34.3
21.67	47	116	27.47	26.48	27.97	32.26	33.7	34.2
22.36	56	117.1	28.29	26.41	27.87	32.09	33.56	34.1
23.13	64	118.1	29.15	26.38	27.79	31.91	33.4	33.98
23.97	72	119.2	30.03	26.39	27.74	31.75	33.25	33.87
24.84	79	120.3	30.94	26.43	27.72	31.58	33.09	33.76
25.76	86	121.3	31.88	26.51	27.73	31.43	32.94	33.64
26.68	93	122.4	32.83	26.62	27.77	31.28	32.78	33.53
27.64	100	123.5	33.81	26.78	27.84	31.16	32.65	33.42
28.59	108	124.6	34.8	26.96	27.93	31.04	32.52	33.32
29.59	114	125.6	35.81	27.17	28.05	30.94	32.4	33.21
30.61	121	126.7	36.83	27.42	28.2	30.84	32.29	33.12
31.65	128	127.8	37.86	27.68	28.38	30.76	32.19	33.02
32.7	134	128.8	38.89	27.97	28.57	30.71	32.08	32.92
33.78	139	129.9	39.92	28.29	28.8	30.66	31.98	32.83
34.88	145	131	40.96	28.64	29.04	30.61	31.9	32.75
35.99	149	132.1	41.99	29	29.3	30.59	31.8	32.66
37.11	154	133.1	43.02	29.39	29.58	30.58	31.72	32.56
38.21	159	134.2	44.04	29.8	29.88	30.57	31.64	32.47
39.31	163	135.3	45.04	30.23	30.21	30.59	31.57	32.38
40.43	166	136.3	46.04	30.68	30.55	30.61	31.51	32.29
41.53	170	137.4	47.02	31.14	30.9	30.65	31.43	32.19
42.62	173	138.5	47.98	31.61	31.26	30.69	31.38	32.1
43.71	176	139.6	48.92	32.11	31.65	30.76	31.33	32.01
44.77	178	140.6	49.83	32.61	32.04	30.83	31.28	31.93
45.82	180	141.7	50.72	33.12	32.45	30.91	31.25	31.88
46.86	182	142.8	51.58	33.64	32.86	31.03	31.22	31.82
47.88	183	143.8	52.41	34.17	33.28	31.13	31.22	31.79
48.88	183	144.9	53.2	34.71	33.71	31.26	31.23	31.77
49.86	183	146	53.96	35.26	34.15	31.4	31.25	31.75
50.79	183	147.1	54.69	35.81	34.6	31.54	31.28	31.74
