Temperature	PWM	SetTemp	Time
22.42,0,40,36.95
22.42,0,40,37.63
22.42,0,40,38.32
22.43,0,40,39.01
22.43,255,40,39.69
22.54,255,40,40.38
23.25,255,40,41.07
24.33,255,40,41.76
25.58,255,40,42.45
26.93,255,40,43.13
28.33,255,40,43.82
29.77,255,40,44.51
31.22,255,40,45.2
32.65,255,40,45.88
34.06,255,40,46.57
35.46,255,40,47.26
36.83,255,40,47.95
38.18,255,40,48.63
39.49,0,40,49.32
40.7,0,40,50.01
41.31,0,40,50.69
41.53,0,40,51.38
41.54,0,40,52.06
41.42,0,40,52.75
41.21,0,40,53.44
40.94,0,40,54.12
40.64,0,40,54.81
40.32,0,40,55.49
39.99,0,40,56.18
39.65,0,40,56.86
39.31,0,40,57.55
38.97,8,40,58.23
38.65,10,40,58.92
38.35,12,40,59.61
38.08,14,40,60.29
37.84,16,40,60.98
37.62,18,40,61.66
37.42,19,40,62.35
37.25,21,40,63.04
37.1,22,40,63.72
36.97,23,40,64.41
36.86,24,40,65.1
36.76,25,40,65.78
36.68,26,40,66.47
36.61,26,40,67.16
36.56,27,40,67.84
36.51,28,40,68.53
36.47,28,40,69.22
36.45,28,40,69.91
36.42,29,40,70.59
36.41,29,40,71.28
36.4,29,40,71.97
36.39,30,40,72.65
36.39,30,40,73.34
36.39,30,40,74.03
36.39,30,40,74.72
36.4,30,40,75.4
36.41,30,40,76.09
36.42,30,40,76.78
36.43,30,40,77.46
36.44,31,40,78.15
36.45,31,40,78.84
36.46,31,40,79.52
36.48,31,40,80.21
36.49,31,40,80.9
36.51,31,40,81.59
36.53,31,40,82.27
36.54,31,40,82.96
36.56,31,40,83.65
36.57,31,40,84.33
36.59,31,40,85.02
36.6,31,40,85.71
36.62,31,40,86.4
36.63,31,40,87.08
36.65,32,40,87.77
36.66,32,40,88.46
36.68,32,40,89.14
36.69,32,40,89.83
36.71,32,40,90.52
36.73,32,40,91.21
36.75,32,40,91.9
36.77,32,40,92.58
36.79,32,40,93.27
36.8,32,40,93.96
36.82,32,40,94.65
36.84,32,40,95.34
36.86,32,40,96.03
36.88,32,40,96.71
36.89,32,40,97.4
36.91,32,40,98.09
36.93,32,40,98.78
36.94,32,40,99.47
36.96,32,40,100.15
36.98,32,40,100.84
36.99,32,40,101.53
37,32,40,102.22
37.02,32,40,102.91
37.03,32,40,103.6
37.05,32,40,104.29
37.07,32,40,104.98
37.09,32,40,105.67
37.1,33,40,106.36
37.11,33,40,107.05
37.13,33,40,107.74
37.14,33,40,108.43
37.17,33,40,109.11
37.19,33,40,109.8
37.21,33,40,110.49
37.22,33,40,111.18
37.24,33,40,111.87
37.26,33,40,112.56
37.28,33,40,113.25
37.3,33,40,113.94
37.32,33,40,114.63
37.33,33,40,115.32
37.35,33,40,116
37.37,33,40,116.69
37.39,33,40,117.38
37.41,33,40,118.07
37.43,33,40,118.76
37.44,33,40,119.45
37.46,33,40,120.14
37.48,33,40,120.83
37.5,33,40,121.52
37.51,33,40,122.21
37.53,33,40,122.9
37.54,33,40,123.59
37.56,33,40,124.27
37.57,33,40,124.96
37.59,33,40,125.65
37.61,33,40,126.34
37.63,33,40,127.03
37.64,33,40,127.72
37.65,33,40,128.41
37.67,33,40,129.1
37.68,33,40,129.79
37.69,33,40,130.48
37.71,33,40,131.17
37.73,33,40,131.86
37.74,33,40,132.55
37.75,33,40,133.23
37.77,33,40,133.92
37.78,33,40,134.61
37.79,33,40,135.3
37.81,33,40,135.99
37.82,33,40,136.68
37.84,33,40,137.37
37.85,33,40,138.06
37.87,33,40,138.75
37.88,33,40,139.44
37.89,33,40,140.13
37.9,33,40,140.82
37.92,33,40,141.5
37.93,33,40,142.19
37.94,33,40,142.88
37.96,33,40,143.57
37.97,33,40,144.26
37.98,33,40,144.95
37.99,33,40,145.64
38,33,40,146.33
38.02,33,40,147.02
38.03,33,40,147.71
38.04,33,40,148.4
38.06,33,40,149.09
38.07,33,40,149.77
38.08,33,40,150.46
38.09,33,40,151.15
38.1,33,40,151.84
38.11,33,40,152.53
38.12,33,40,153.22
38.13,33,40,153.91
38.14,33,40,154.6
38.15,33,40,155.29
38.17,33,40,155.98
38.18,33,40,156.66
38.19,33,40,157.36
38.2,33,40,158.04
38.21,33,40,158.73
38.21,33,40,159.42
38.23,33,40,160.11
38.24,33,40,160.8
38.25,33,40,161.49
38.26,33,40,162.18
38.27,33,40,162.87
38.28,33,40,163.56
38.29,33,40,164.25
38.3,33,40,164.94
38.31,33,40,165.62
38.32,33,40,166.31
38.33,33,40,167
38.34,33,40,167.69
38.35,33,40,168.38
38.36,33,40,169.07
38.37,33,40,169.76
38.38,33,40,170.45
38.39,33,40,171.14
38.4,33,40,171.83
38.4,33,40,172.52
38.41,33,40,173.21
38.42,34,40,173.89
38.43,34,40,174.58
38.44,34,40,175.27
38.45,34,40,175.96
38.47,33,40,176.65
38.49,33,40,177.34
38.5,33,40,178.03
38.51,33,40,178.72
38.52,33,40,179.41
38.52,33,40,180.1
38.53,33,40,180.79
38.54,33,40,181.48
38.55,34,40,182.16
38.55,34,40,182.85
38.57,34,40,183.54
38.58,34,40,184.23
38.59,33,40,184.92
38.6,33,40,185.61
38.61,33,40,186.3
38.62,33,40,186.99
38.63,33,40,187.68
38.64,33,40,188.37
38.64,34,40,189.06
38.65,34,40,189.75
38.66,34,40,190.43
38.67,34,40,191.12
38.68,34,40,191.81
38.69,33,40,192.5
38.71,33,40,193.19
38.72,33,40,193.88
38.73,33,40,194.57
38.73,33,40,195.26
38.74,33,40,195.95
