Temperature	Time
34.08,17.1
34.19,17.79
34.36,18.48
34.57,19.16
34.79,19.85
35.02,20.54
35.26,21.22
35.49,21.91
35.71,22.6
35.92,23.28
36.12,23.97
36.3,24.66
36.47,25.35
36.63,26.03
36.77,26.72
36.91,27.41
37.03,28.09
37.14,28.78
37.24,29.47
37.34,30.16
37.42,30.84
37.49,31.53
37.56,32.22
37.62,32.9
37.68,33.59
37.73,34.28
37.78,34.97
37.82,35.65
37.86,36.34
37.9,37.03
37.94,37.71
37.98,38.4
38.01,39.09
38.04,39.78
38.07,40.46
38.11,41.15
38.14,41.84
38.16,42.52
38.19,43.21
38.22,43.9
38.25,44.59
38.28,45.27
38.31,45.96
38.34,46.65
38.37,47.33
38.39,48.02
38.42,48.71
38.44,49.4
38.46,50.09
38.48,50.77
38.5,51.46
38.53,52.15
38.55,52.84
38.57,53.53
38.59,54.21
38.61,54.9
38.63,55.59
38.65,56.28
38.67,56.97
38.69,57.65
38.7,58.34
38.72,59.03
38.74,59.72
38.76,60.41
38.78,61.1
38.8,61.78
38.81,62.47
38.83,63.16
38.85,63.85
38.87,64.54
38.88,65.22
38.9,65.91
38.92,66.6
38.93,67.29
38.95,67.98
38.97,68.66
38.99,69.35
39,70.04
39.02,70.73
39.03,71.42
39.05,72.11
39.06,72.79
39.08,73.48
39.1,74.17
39.11,74.86
39.12,75.55
39.14,76.23
39.15,76.92
39.16,77.61
39.17,78.3
39.18,78.99
39.19,79.68
39.2,80.36
39.22,81.05
39.23,81.74
39.24,82.43
39.24,83.12
39.25,83.8
39.26,84.49
39.27,85.18
39.28,85.87
39.29,86.56
39.3,87.24
39.31,87.93
39.32,88.62
39.33,89.31
39.34,90
39.34,90.68
39.35,91.37
39.36,92.06
39.37,92.75
39.38,93.44
39.39,94.13
39.4,94.81
39.41,95.5
39.41,96.19
39.42,96.88
39.43,97.57
39.44,98.25
39.44,98.94
39.45,99.63
39.45,100.32
39.46,101.01
39.47,101.7
39.48,102.39
39.48,103.08
39.49,103.77
39.5,104.45
39.51,105.14
39.51,105.83
39.52,106.52
39.53,107.21
39.53,107.9
39.53,108.59
39.54,109.28
39.55,109.97
39.55,110.66
39.56,111.35
39.56,112.04
39.57,112.72
39.58,113.41
39.58,114.1
39.58,114.79
39.59,115.48
39.6,116.17
39.6,116.86
39.61,117.55
39.61,118.24
39.62,118.93
39.62,119.62
39.63,120.3
39.63,120.99
39.64,121.68
39.64,122.37
39.65,123.06
39.65,123.75
39.66,124.44
39.66,125.13
39.67,125.82
39.67,126.51
39.67,127.2
39.68,127.89
39.68,128.58
39.68,129.26
39.69,129.95
39.69,130.64
39.69,131.33
39.7,132.02
39.71,132.71
39.72,133.4
39.72,134.09
39.73,134.78
39.73,135.47
39.73,136.16
39.74,136.85
39.74,137.53
39.75,138.22
39.75,138.91
39.75,139.6
39.76,140.29
39.76,140.98
39.77,141.67
39.77,142.36
39.77,143.05
39.77,143.74
39.78,144.43
39.78,145.12
39.78,145.8
39.79,146.49
39.79,147.18
39.79,147.87
